,Title,Published_date,Views,Likes,Comments
0,The most Profitable Skills in Coding!,2022-04-20T12:49:24Z,4952,929,75
1,Kya Web Developer ko Graphic Designing seekhni chahiye?,2022-04-19T13:25:55Z,23791,1925,319
2,PyMongo Tutorial & Connecting to a MongoDB Atlas Cluster Using Python,2022-04-17T14:30:06Z,31199,1117,273
3,Fixing Checkout Issues | NextJs Tutorial for Beginners #67,2022-04-16T16:31:13Z,9090,257,63
4,Out of stock check in CodesWear.com | NextJs Tutorial for Beginners #66,2022-04-16T11:30:02Z,7505,197,39
5,Pincode to city & state | NextJs Tutorial for Beginners #65,2022-04-15T15:30:03Z,12855,314,75
6,Creating Order and Orders Page for the user | NextJs Tutorial for Beginners #64,2022-04-15T11:30:04Z,4964,184,40
7,Initiating Order and Redirecting to Order Page | NextJs Tutorial for Beginners #63,2022-04-14T14:00:08Z,12979,292,72
8,One Effective Sleeping Tip For Everyone!,2022-04-12T14:11:55Z,60143,4108,111
9,Should You buy an iPad? - The devil's advocate,2022-04-10T14:30:04Z,32635,1726,225
10,Adding Payment Gateway to Codeswear.com | NextJs Tutorial for Beginners #62,2022-04-10T11:30:03Z,23093,511,99
11,Adding Environment Variables to Codeswear.com | NextJs Tutorial for Beginners #61,2022-04-10T05:30:10Z,6138,213,51
12,Creating Orders Page for Codeswear.com | NextJs Tutorial for Beginners #60,2022-04-10T02:30:07Z,8381,236,44
13,Adding React top loading bar to Codeswear.com | NextJs Tutorial for Beginners #59,2022-04-09T14:30:16Z,5340,129,35
14,Adding Login and Logout buttons to Codeswear.com | NextJs Tutorial for Beginners #58,2022-04-09T11:30:42Z,6557,217,37
15,Introduction to JWT | NextJs Tutorial for Beginners #57,2022-04-09T05:30:08Z,7311,243,47
16,Adding Encryption to login and signup for Codeswear.com | NextJs Tutorial for Beginners #56,2022-04-09T02:30:00Z,10958,276,55
17,Creating Login Page for Codeswear.com | NextJs Tutorial for Beginners #55,2022-04-08T11:30:05Z,6494,255,60
18,Creating Signup Page for Codeswear.com | NextJs Tutorial for Beginners #54,2022-04-08T02:30:08Z,13751,347,47
19,"Customizing Hoodies, Mugs & Stickers Page for Codeswear.com | NextJs Tutorial for Beginners #53",2022-04-07T11:30:04Z,10707,286,64
20,Adding React Toastify to Codeswear.com | NextJs Tutorial for Beginners #52,2022-04-07T05:30:08Z,6529,207,43
21,How Would I Learn Web Development in 2022 If I Could Start Over 🔥🔥,2022-04-04T11:16:52Z,204821,12562,738
